"","title","location","design","size","modelling_used","internal_validation","ROB","exposures","outcomes","temporal_ordering","mediators","unmeasured_biases","causal_framework","modelling_type"
"146","Role of soluble urokinase plasminogen activator receptor in critically ill children with hospitalacquired infections","Egypt (Cairo)","Prospective observational","150","ROC; Cox regression","None","Moderate  single PICU; no validation","Serial suPAR levels","Inhospital mortality; length of ventilation","Yes","No","Assay cost; limited followup","No explicit causal framework","Other (non-modelling) approaches used; Cox PH model"
"147","Role of soluble TREM1 and 25hydroxyvitaminD as early biomarkers in neonatal sepsis","Egypt (Assiut)","Prospective casecontrol","90","Logistic regression; ROC","None","Moderate  single centre; small sample","Plasma sTREM1; vitaminD level","Earlyonset neonatal sepsis diagnosis","Yes","Immune modulation by vitamin D","Vitamin D seasonality","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"148","Viremia as a predictor of absence of serious bacterial infection in children with fever without source","Switzerland (Geneva)","Prospective diagnostic cohort","135","PCR viral panel; logistic regression; ROC","None","Moderate  single centre; no validation","Plasma viremia for AdV, Enterovirus, Parechovirus, HHV-6; CRP; PCT","Serious bacterial infection","Yes","No","Limited viral targets; small SBI count","Diagnostic accuracy framework","Other (non-modelling) approaches used; Logistic regression"
"149","Variations in biochemical values under stress in children with SARS-CoV-2 infection","Romania (Iasi)","Retrospective cohort","82","Univariate comparison; logistic regression","None","High  retrospective; small sample","pH, lactate, glucose, AST/ALT, protein","Severe versus moderate COVID-19; mortality","Yes","Metabolic markers","Single centre; evolving protocols","Stress metabolism model","Other (non-modelling) approaches used; Logistic regression"
"150","Utility of cytokines to predict neonatal sepsis","China (Zhejiang)","Prospective cohort","160 (40 sepsis, 120 controls)","ROC; logistic regression","None","Moderate  prospective; no external validation","IL-6, IL-10, IL-6/IL-10 ratio, CRP","Culture-proven neonatal sepsis","Yes","No","Control heterogeneity","Cytokine pathway model","Other (non-modelling) approaches used; Logistic regression"
"151","Utility of clinical biomarkers to predict central line-associated bloodstream infections after congenital heart surgery","USA (California)","Retrospective cohort","252 (25 CLABSI, 227 negative)","Logistic regression; ROC","None","Moderate  retrospective; single institution","Fever, CRP, WBC, band count","CLABSI occurrence","Yes","No","Confounding by surgery complexity","No explicit causal framework","Logistic regression; Other (non-modelling) approaches used"
"152","Use of procalcitonin and C-reactive protein in the diagnosis of bacterial infection in infants with severe bronchiolitis","Spain (Barcelona)","Prospective observational PICU cohort","675","ROC at multiple timepoints","None","Moderate  single centre","Serial PCT, CRP","Invasive bacterial infection","Yes","No","Practice changes over 6 years","Diagnostic accuracy","Other (non-modelling) approaches used"
"153","Urinary L-FABP as a mortality predictor in children under five with sepsis in Bangladesh","Bangladesh (Dhaka)","Prospective observational","105 (83 survivors, 22 deaths)","Poisson regression; ROC","None","Moderate  single centre","First-day urinary L-FABP","In-hospital mortality","Yes","Renal ischemia","Resource limitations","Renal injury model","Poisson regression; Other (non-modelling) approaches used"
"154","Umbilical cord procalcitonin to detect early-onset sepsis in newborns","Netherlands (Haarlem)","Prospective casecontrol","329","ROC; cut-off optimisation","None","Moderate  prospective; no external validation","Cord PCT; infant PCT; CRP","Early-onset neonatal sepsis","Yes","No","Maternal antibiotics effect","Diagnostic accuracy","Other (non-modelling) approaches used"
"155","Type I interferon in children with viral or bacterial infections","France (multicentre)","Prospective diagnostic cohort","101","ISG Nanostring panel; SIMOA IFN-; ROC","None","Moderate  exploratory biomarker study","Serum IFN-; IFN score","Viral vs bacterial infection classification","Yes","Antiviral host response","Assay cost; small sample","Host response model","Other (non-modelling) approaches used"
